   hex | basic formatted name                              AGL name                 with extension                          range                                   uni name            
 1D4C7 : rscript                                           -                        rscript                                 Mathematical Alphanumeric Symbols       MATHEMATICAL SCRIPT SMALL R

   27D : rtail                                             -                        rtail                                   IPA Extensions                          LATIN SMALL LETTER R WITH TAIL
  AB49 : rtail                                             -                        rtail                                   Latin Extended-E                        LATIN SMALL LETTER R WITH CROSSED-TAIL

    3B : semicolon                                         -                        semicolon                               Basic Latin                             SEMICOLON           
   61B : semicolon                                         -                        semicolon                               Arabic                                  ARABIC SEMICOLON    

    37 : seven                                             -                        seven                                   Basic Latin                             DIGIT SEVEN         
   667 : seven                                             -                        seven                                   Arabic                                  ARABIC-INDIC DIGIT SEVEN
  A9D7 : seven                                             -                        seven                                   Javanese                                JAVANESE DIGIT SEVEN

    36 : six                                               -                        six                                     Basic Latin                             DIGIT SIX           
   666 : six                                               -                        six                                     Arabic                                  ARABIC-INDIC DIGIT SIX
  A9D6 : six                                               -                        six                                     Javanese                                JAVANESE DIGIT SIX  

 11A50 : soyombolettera                                    -                        soyombolettera                          Soyombo                                 SOYOMBO LETTER A    
 11A7A : soyombolettera                                    -                        soyombolettera                          Soyombo                                 SOYOMBO LETTER -A   


    33 : three                                             -                        three                                   Basic Latin                             DIGIT THREE         
   663 : three                                             -                        three                                   Arabic                                  ARABIC-INDIC DIGIT THREE
  A9D3 : three                                             -                        three                                   Javanese                                JAVANESE DIGIT THREE

   2DC : tilde                                             -                        tilde                                   Spacing Modifier Letters                SMALL TILDE         
  1FC0 : tilde                                             -                        tilde                                   Greek Extended                          GREEK PERISPOMENI   

    32 : two                                               -                        two                                     Basic Latin                             DIGIT TWO           
   662 : two                                               -                        two                                     Arabic                                  ARABIC-INDIC DIGIT TWO
  A9D2 : two                                               -                        two                                     Javanese                                JAVANESE DIGIT TWO  

    75 : u                                                 -                        u                                       Basic Latin                             LATIN SMALL LETTER U
   6C7 : u                                                 -                        u                                       Arabic                                  ARABIC LETTER U     
  A988 : u                                                 -                        u                                       Javanese                                JAVANESE LETTER U   

   28A : upsilon                                           -                        upsilon                                 IPA Extensions                          LATIN SMALL LETTER UPSILON
   3C5 : upsilon                                           -                        upsilon                                 Greek and Coptic                        GREEK SMALL LETTER UPSILON

   6C8 : yu                                                -                        yu                                      Arabic                                  ARABIC LETTER YU    
  2C53 : yu                                                -                        yu                                      Glagolitic                              GLAGOLITIC SMALL LETTER YU

    30 : zero                                              -                        zero                                    Basic Latin                             DIGIT ZERO          
   660 : zero                                              -                        zero                                    Arabic                                  ARABIC-INDIC DIGIT ZERO
  A9D0 : zero                                              -                        zero                                    Javanese                                JAVANESE DIGIT ZERO 
# 66 names with conflicts, affecting 606 unicodes


Conflicts by rangename

Arabic
   6D5 : ae                                                -                        ae                                      Arabic                                  ARABIC LETTER AE    
   639 : ain                                               -                        ain                                     Arabic                                  ARABIC LETTER AIN   
   60C : comma                                             -                        comma                                   Arabic                                  ARABIC COMMA        
   606 : cuberoot                                          -                        cuberoot                                Arabic                                  ARABIC-INDIC CUBE ROOT
   66B : decimalseparator                                  -                        decimalseparator                        Arabic                                  ARABIC DECIMAL SEPARATOR
   6D0 : e                                                 -                        e                                       Arabic                                  ARABIC LETTER E     
   668 : eight                                             -                        eight                                   Arabic                                  ARABIC-INDIC DIGIT EIGHT
   665 : five                                              -                        five                                    Arabic                                  ARABIC-INDIC DIGIT FIVE
   664 : four                                              -                        four                                    Arabic                                  ARABIC-INDIC DIGIT FOUR
   607 : fourthroot                                        -                        fourthroot                              Arabic                                  ARABIC-INDIC FOURTH ROOT
   669 : nine                                              -                        nine                                    Arabic                                  ARABIC-INDIC DIGIT NINE
   600 : numbersign                                        -                        numbersign                              Arabic                                  ARABIC NUMBER SIGN  
   6C6 : oe                                                -                        oe                                      Arabic                                  ARABIC LETTER OE    
   661 : one                                               -                        one                                     Arabic                                  ARABIC-INDIC DIGIT ONE
   66A : percent                                           -                        percent                                 Arabic                                  ARABIC PERCENT SIGN 
   60A : perthousand                                       -                        perthousand                             Arabic                                  ARABIC-INDIC PER TEN THOUSAND SIGN
   61F : question                                          -                        question                                Arabic                                  ARABIC QUESTION MARK
   61B : semicolon                                         -                        semicolon                               Arabic                                  ARABIC SEMICOLON    
   667 : seven                                             -                        seven                                   Arabic                                  ARABIC-INDIC DIGIT SEVEN
   666 : six                                               -                        six                                     Arabic                                  ARABIC-INDIC DIGIT SIX
   663 : three                                             -                        three                                   Arabic                                  ARABIC-INDIC DIGIT THREE
   662 : two                                               -                        two                                     Arabic                                  ARABIC-INDIC DIGIT TWO
   6C7 : u                                                 -                        u                                       Arabic                                  ARABIC LETTER U     
   6C8 : yu                                                -                        yu                                      Arabic                                  ARABIC LETTER YU    
   660 : zero                                              -                        zero                                    Arabic                                  ARABIC-INDIC DIGIT ZERO

Basic Latin
    49 : I                                                 -                        I                                       Basic Latin                             LATIN CAPITAL LETTER I
    61 : a                                                 -                        a                                       Basic Latin                             LATIN SMALL LETTER A
    2C : comma                                             -                        comma                                   Basic Latin                             COMMA               
    65 : e                                                 -                        e                                       Basic Latin                             LATIN SMALL LETTER E
    38 : eight                                             -                        eight                                   Basic Latin                             DIGIT EIGHT         
    35 : five                                              -                        five                                    Basic Latin                             DIGIT FIVE          
    34 : four                                              -                        four                                    Basic Latin                             DIGIT FOUR          
    60 : grave                                             -                        grave                                   Basic Latin                             GRAVE ACCENT        
    2D : hyphen                                            -                        hyphen                                  Basic Latin                             HYPHEN-MINUS        
    69 : i                                                 -                        i                                       Basic Latin                             LATIN SMALL LETTER I
    39 : nine                                              -                        nine                                    Basic Latin                             DIGIT NINE          
    23 : numbersign                                        -                        numbersign                              Basic Latin                             NUMBER SIGN         
    6F : o                                                 -                        o                                       Basic Latin                             LATIN SMALL LETTER O
    31 : one                                               -                        one                                     Basic Latin                             DIGIT ONE           
    25 : percent                                           -                        percent                                 Basic Latin                             PERCENT SIGN        
    3F : question                                          -                        question                                Basic Latin                             QUESTION MARK       
    3B : semicolon                                         -                        semicolon                               Basic Latin                             SEMICOLON           
    37 : seven                                             -                        seven                                   Basic Latin                             DIGIT SEVEN         
    36 : six                                               -                        six                                     Basic Latin                             DIGIT SIX           
    33 : three                                             -                        three                                   Basic Latin                             DIGIT THREE         
    32 : two                                               -                        two                                     Basic Latin                             DIGIT TWO           
    75 : u                                                 -                        u                                       Basic Latin                             LATIN SMALL LETTER U
    30 : zero                                              -                        zero                                    Basic Latin                             DIGIT ZERO          

Cyrillic
   42D : Ereversed                                         -                        Ereversed                               Cyrillic                                CYRILLIC CAPITAL LETTER E
   44D : ereversed                                         -                        ereversed                               Cyrillic                                CYRILLIC SMALL LETTER E

General Punctuation
  2010 : hyphen                                            -                        hyphen                                  General Punctuation                     HYPHEN              
  2030 : perthousand                                       -                        perthousand                             General Punctuation                     PER MILLE SIGN      

Geometric Shapes
  25C6 : diamondblack                                      -                        diamondblack                            Geometric Shapes                        BLACK DIAMOND       
  25C7 : diamondwhite                                      -                        diamondwhite                            Geometric Shapes                        WHITE DIAMOND       

Glagolitic
  2C0B : I                                                 -                        I                                       Glagolitic                              GLAGOLITIC CAPITAL LETTER I
  2C3B : i                                                 -                        i                                       Glagolitic                              GLAGOLITIC SMALL LETTER I
  2C53 : yu                                                -                        yu                                      Glagolitic                              GLAGOLITIC SMALL LETTER YU

Greek Extended
  1FFD : acute                                             -                        acute                                   Greek Extended                          GREEK OXIA          
  1FEF : grave                                             -                        grave                                   Greek Extended                          GREEK VARIA         
  1FC0 : tilde                                             -                        tilde                                   Greek Extended                          GREEK PERISPOMENI   

Greek and Coptic
   392 : Beta                                              -                        Beta                                    Greek and Coptic                        GREEK CAPITAL LETTER BETA
   3A7 : Chi                                               -                        Chi                                     Greek and Coptic                        GREEK CAPITAL LETTER CHI
   3A9 : Omega                                             -                        Omega                                   Greek and Coptic                        GREEK CAPITAL LETTER OMEGA
   3B1 : alpha                                             -                        alpha                                   Greek and Coptic                        GREEK SMALL LETTER ALPHA
   3B2 : beta                                              -                        beta                                    Greek and Coptic                        GREEK SMALL LETTER BETA
   3B3 : gamma                                             -                        gamma                                   Greek and Coptic                        GREEK SMALL LETTER GAMMA
   3B9 : iota                                              -                        iota                                    Greek and Coptic                        GREEK SMALL LETTER IOTA
   3C9 : omega                                             -                        omega                                   Greek and Coptic                        GREEK SMALL LETTER OMEGA
   3C6 : phi                                               -                        phi                                     Greek and Coptic                        GREEK SMALL LETTER PHI
   37E : question                                          -                        question                                Greek and Coptic                        GREEK QUESTION MARK 
   3C5 : upsilon                                           -                        upsilon                                 Greek and Coptic                        GREEK SMALL LETTER UPSILON

IPA Extensions
   26A : Ismall                                            -                        Ismall                                  IPA Extensions                          LATIN LETTER SMALL CAPITAL I
   251 : alpha                                             -                        alpha                                   IPA Extensions                          LATIN SMALL LETTER ALPHA
   258 : ereversed                                         -                        ereversed                               IPA Extensions                          LATIN SMALL LETTER REVERSED E
   263 : gamma                                             -                        gamma                                   IPA Extensions                          LATIN SMALL LETTER GAMMA
   294 : glottalstop                                       -                        glottalstop                             IPA Extensions                          LATIN LETTER GLOTTAL STOP
   261 : gscript                                           -                        gscript                                 IPA Extensions                          LATIN SMALL LETTER SCRIPT G
   269 : iota                                              -                        iota                                    IPA Extensions                          LATIN SMALL LETTER IOTA
   278 : phi                                               -                        phi                                     IPA Extensions                          LATIN SMALL LETTER PHI
   27D : rtail                                             -                        rtail                                   IPA Extensions                          LATIN SMALL LETTER R WITH TAIL
   28A : upsilon                                           -                        upsilon                                 IPA Extensions                          LATIN SMALL LETTER UPSILON

Javanese
  A984 : a                                                 -                        a                                       Javanese                                JAVANESE LETTER A   
  A98C : e                                                 -                        e                                       Javanese                                JAVANESE LETTER E   
  A9D8 : eight                                             -                        eight                                   Javanese                                JAVANESE DIGIT EIGHT
  A9D5 : five                                              -                        five                                    Javanese                                JAVANESE DIGIT FIVE 
  A9D4 : four                                              -                        four                                    Javanese                                JAVANESE DIGIT FOUR 
  A986 : i                                                 -                        i                                       Javanese                                JAVANESE LETTER I   
  A9D9 : nine                                              -                        nine                                    Javanese                                JAVANESE DIGIT NINE 
  A98E : o                                                 -                        o                                       Javanese                                JAVANESE LETTER O   
  A9D1 : one                                               -                        one                                     Javanese                                JAVANESE DIGIT ONE  
  A9D7 : seven                                             -                        seven                                   Javanese                                JAVANESE DIGIT SEVEN
  A9D6 : six                                               -                        six                                     Javanese                                JAVANESE DIGIT SIX  
  A9D3 : three                                             -                        three                                   Javanese                                JAVANESE DIGIT THREE
  A9D2 : two                                               -                        two                                     Javanese                                JAVANESE DIGIT TWO  
  A988 : u                                                 -                        u                                       Javanese                                JAVANESE LETTER U   
  A9D0 : zero                                              -                        zero                                    Javanese                                JAVANESE DIGIT ZERO 

Khitan Small Script
 18B00 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B01 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B02 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B03 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B04 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B05 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B06 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B07 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B08 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B09 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B0A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B0B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B0C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B0D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B0E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B0F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B10 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B11 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B12 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B13 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B14 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B15 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B16 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B17 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B18 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B19 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B1A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B1B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B1C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B1D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B1E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B1F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B20 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B21 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B22 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B23 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B24 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B25 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B26 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B27 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B28 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B29 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B2A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B2B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B2C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B2D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B2E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B2F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B30 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B31 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B32 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B33 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B34 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B35 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B36 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B37 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B38 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B39 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B3A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B3B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B3C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B3D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B3E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B3F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B40 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B41 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B42 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B43 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B44 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B45 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B46 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B47 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B48 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B49 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B4A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B4B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B4C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B4D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B4E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B4F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B50 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B51 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B52 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B53 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B54 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B55 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B56 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B57 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B58 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B59 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B5A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B5B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B5C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B5D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B5E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B5F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B60 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B61 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B62 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B63 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B64 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B65 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B66 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B67 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B68 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B69 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B6A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B6B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
